"name","category","pillar","level","technology"
"European Anti-Fraud Office (OLAF) [(EC) 1999/352]","Regulation","Sovereignty","European Union",""
"European Central Bank (ECB) [(EU) 2015/2366, 2023/0212 (COD)]","Regulation","Sovereignty","European Union",""
"European Commission (DG DEFIS): Unit B.1 [(EU) 2023/588]","Regulation","Sovereignty","European Union",""
"European Union Intellectual Property Office (EUIPO) [(EU) 2012/386, (EU) 2017/1001]","Regulation","Sovereignty","European Union",""
"CERT-EU [(EU, Euratom) 2023/2841]","Regulation","Sovereignty","European Union",""
"European Commission (DG CNCT): Unit F.2 & F.3 [(EU) 2022/1925, 2022/2065]","Regulation","Sovereignty","European Union",""
"European Research Council Executive Agency (ERCEA) [(EU) 2021/173, (EU) 2021/694, (EU) 2021/695]","Regulation","Sovereignty","European Union",""
"European Digital Infrastructure Consortium (EDIC) [(EU) 2022/2481]","Regulation","Sovereignty","European Union","General (data)"
"Body of European Regulators for Electronic Communications (BEREC) [(EU) 2015/2120, (EU) 2018/1972, (EU) 2022/612]","Regulation","Sovereignty","European Union",""
"EU Fundamental Rights Agency (FRA) [(EC) 2007/168]","Regulation","Values","European Union",""
"Gateway coordination group [(EU) 2018/1724]","Regulation","Sovereignty","European Union",""
"European Patent Organization (EPO) [(EU) 1257/2012]","Regulation","Sovereignty","European Union",""
"European Cybersecurity Competence Centre (ECCC) [(EU) 2021/887]","Regulation","Sovereignty","European Union","Cybersecurity"
"European Securities and Markets Authority (ESMA) [(EU) 2022/858, 2022/2554, 2023/1114]","Regulation","Competitiveness","European Union",""
"European Defence Agency (EDA) [(EU) 2015/1835]","Regulation","Sovereignty","European Union",""
"Europol [(EU) 2016/794]","Regulation","Sovereignty","European Union",""
"Authority for Anti- Money Laundering and Countering the Financing of Terrorism (AMLA) [(EU) 2024/1620, (EU) 2024/1624]","Regulation","Sovereignty","European Union",""
"European Union Agency for the Space Programme (EUSPA) [(EU) 2021/696, (EU) 2023/588]","Instruments","Sovereignty","European Union",""
"European Data Protection Supervisor (EDPS) [(EU) 2018/1725]","Regulation","Values","European Union","General (data)"
"European Commission (DG GROW): Unit A.4 (Strategy and Regulation) [2022/0278 (COD)]","Strategy","Sovereignty","European Union",""
"Governing Board of Chips Joint Undertaking (Chips JU) [2022/0033(NLE)]","Regulation","Sovereignty","European Union",""
"EU Agency for Cybersecurity (ENISA) [(EU) 2019/881]","Regulation","Sovereignty","European Union","Cybersecurity"
"European Public Prosecutor's Office (EPPO) [(EU) 2017/1939]","Regulation","Sovereignty","European Union",""
"European Consumer Centres Network [(EU) 2021/690]","Regulation","Values","European Union",""
"Advisory Committee on Restrictive Practices and Dominant Positions [(EC) 2003/1]","Regulation","Sovereignty","European Union",""
"Consumer Safety Network [(EU) 2023/988]","Regulation","Values","European Union",""
"European Data Innovation Board (EDIB) [(EU) 2022/868, (EU) 2023/2854]","Regulation","Competitiveness","European Union","General (data)"
"eu-LISA [(EU) 2018/1726, (EU) 2018/817]","Regulation","Sovereignty","European Union",""
"European Insurance and Occupational Pensions Authority (EIOPA) [(EU) 2022/2554, 2023/0205 (COD)]","Regulation","Sovereignty","European Union",""
"Multistakeholder Advisory Group [(EU) 2019/517]","Regulation","Sovereignty","European Union",""
"Eurojust [(EU) 2018/1727]","Regulation","Sovereignty","European Union",""
"Contact Committee [(EU) 2017/1132]","Regulation","Sovereignty","European Union",""
"VAT Committee [(EC) 2006/112, (CNS) 2022/0407]","Regulation","Sovereignty","European Union",""
"European Health Data Space Board (EHDS) [(EU) 2025/327]","Regulation","Sovereignty","European Union","General (data)"
"Frontex [(EU) 2019/1896]","Regulation","Sovereignty","European Union",""
"Committee on Administrative Cooperation for Taxation [(EU) 2011/16]","Regulation","Sovereignty","European Union","Cybersecurity"
"The Standing Committee on Administrative Cooperation [(CNS) 2022/0407]","Regulation","Sovereignty","European Union","Cybersecurity"
"Interinstitutitonal Information Security Coordination group [2022/0084(COD)]","Regulation","Sovereignty","European Union","General (data)"
"European Competition Network (ECN) [(EC) 2003/1]","Regulation","Competitiveness","European Union",""
"Union Product Compliance Network [(EU) 2019/1020]","Regulation","Sovereignty","European Union",""
"EU CyCLONe ([EU) 2022/2555]","Regulation","Sovereignty","European Union",""
